Date,Start Time,End Time,Workout Length,Routine,Exercise,Set Order,Reps,Weight,Minutes,Seconds
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Shoulder Rolls,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Shoulder Rolls,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Shoulder Rolls,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Scapular Shrugs,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Camel Bends,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Straight Arm Overhead Pull Downs,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Straight Arm Chest Flies,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Band Dislocates,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Front Leg Swings,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Side Leg Swings,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Wrist Mobility Exercises,1,5,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Plank,1,0,0.0 Kg,0,3
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Side Plank (Both Sides),1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Reverse Plank,1,0,0.0 Kg,0,2
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Hollow Hold,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Arch,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Squat Jumps,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Wall Plank,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Parallel Bar Support,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Negative Pull Up,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Parallel Bar Dips,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Assisted Bodyweight Squat,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Foot-supported L-Sit,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Wall Pushup,1,0,0.0 Kg,0,0
29 Oktober 2016,10:58,10:59,--,Bodyweight Fitness - Recommended Routine,Vertical Row,1,0,0.0 Kg,0,0